round,file,fitness,instructions,normalized_fitness
21,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.91,103,0.0169617893755824
21,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_54.S,0.9,48,0.0167753960857409
21,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.9,36,0.0167753960857409
21,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_49.S,0.9,20,0.0167753960857409
21,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.9,53,0.0167753960857409
21,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.9,42,0.0167753960857409
21,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_52.S,0.9,75,0.0167753960857409
22,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0170443903352687
22,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_38.S,0.91,133,0.0170443903352687
22,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0170443903352687
22,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.91,103,0.0170443903352687
22,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_54.S,0.9,48,0.0168570893425735
22,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_81.S,0.9,35,0.0168570893425735
22,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_52.S,0.9,75,0.0168570893425735
22,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_53.S,0.9,36,0.0168570893425735
22,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.9,67,0.0168570893425735
22,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.9,27,0.0168570893425735
23,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_71.S,0.91,102,0.0156115971864813
23,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_44.S,0.91,102,0.0156115971864813
23,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0156115971864813
23,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_38.S,0.91,133,0.0156115971864813
23,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0156115971864813
23,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.91,103,0.0156115971864813
23,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_77.S,0.9,61,0.0154400411734431
23,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_52.S,0.9,75,0.0154400411734431
23,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_53.S,0.9,36,0.0154400411734431
23,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.9,27,0.0154400411734431
24,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0160578789482971
24,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_71.S,0.91,102,0.0160578789482971
24,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_44.S,0.91,102,0.0160578789482971
24,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0160578789482971
24,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_38.S,0.91,133,0.0160578789482971
24,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.91,103,0.0160578789482971
24,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.9,67,0.0158814187400741
24,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_52.S,0.9,75,0.0158814187400741
24,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_53.S,0.9,36,0.0158814187400741
24,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.9,53,0.0158814187400741
25,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_40.S,0.91,162,0.0151338766006984
25,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.91,196,0.0151338766006984
25,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_71.S,0.91,102,0.0151338766006984
25,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_66.S,0.91,105,0.0151338766006984
25,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_38.S,0.91,133,0.0151338766006984
25,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.91,103,0.0151338766006984
25,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_44.S,0.91,102,0.0151338766006984
25,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_56.S,0.9,27,0.014967570264427
25,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.9,67,0.014967570264427
25,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_25.S,0.9,77,0.014967570264427
26,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_40.S,0.91,162,0.0154472924800543
26,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_38.S,0.91,133,0.0154472924800543
26,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_73.S,0.91,103,0.0154472924800543
26,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_71.S,0.91,102,0.0154472924800543
